ID,TICKER,MARKET CAP,P/E,DIVIDEND YIELD,VOLUME,EPS,CURRENT RATIO,QUICK RATIO,BETA,PRICE
1,MMM,101.28B,20.73,5.88,1264688,8.53,1.90,1.40,0.93,176.89
2,AXP,98.44B,29.78,1.72,2447429,4.05,-,-,1.32,120.59
3,AMGN,131.76B,18.13,6.40,1698148,12.40,2.30,1.90,0.78,224.81
4,AAPL,2004.20B,35.69,0.82,46679104,3.27,1.40,1.30,1.31,116.59
5,BA,125.93B,-,-,9967753,-7.88,1.40,0.50,1.62,216.50
6,CAT,95.48B,29.11,4.12,976174,6.01,1.50,1.10,0.98,175.08
7,CVX,175.65B,-,5.16,4623597,-6.41,1.30,1.00,1.31,91.31
8,CSCO,181.31B,17.34,1.44,10763845,2.46,1.60,1.50,0.90,42.70
9,KO,228.45B,27.33,1.64,8492932,1.93,1.10,1.00,0.59,52.70
10,DOW,41.55B,-,2.80,2846829,-3.13,1.70,1.20,-,55.40
11,GS,81.44B,13.58,5.00,1050104,17.34,-,-,1.46,235.40
12,HD,298.32B,23.85,6.00,1624183,11.57,1.30,0.70,1.05,275.99
13,HON,147.46B,31.12,3.72,1433604,6.73,1.60,1.40,1.11,209.41
14,IBM,111.03B,13.88,6.52,2089425,8.96,1.00,1.00,1.21,124.35
15,INTC,195.44B,9.30,1.32,15906386,5.10,1.70,1.20,0.69,47.45
16,JNJ,381.11B,23.04,4.04,3058752,6.25,1.50,1.20,0.70,144.00
17,JPM,372.70B,15.82,3.60,5981654,7.66,-,-,1.20,121.22
18,MCD,163.45B,33.32,5.16,1394272,6.55,1.10,1.10,0.58,218.33
19,MRK,201.90B,17.56,2.60,5384896,4.55,1.30,1.00,0.45,79.86
20,MSFT,1642.95B,34.73,2.24,14502048,6.20,2.50,2.50,0.83,215.23
21,NKE,209.05B,80.10,1.10,3505899,1.68,2.50,1.80,0.83,134.25
22,PG,342.86B,26.50,3.16,4251231,5.23,0.90,0.70,0.38,138.61
23,CRM,231.12B,634.95,-,7390720,0.39,1.10,1.10,1.29,247.63
24,TRV,33.88B,15.39,3.40,537842,8.73,-,-,0.80,134.44
25,UNH,322.85B,19.42,5.00,1557737,17.40,-,-,0.74,337.94
26,VZ,251.40B,13.70,2.51,5759386,4.42,1.10,1.00,0.40,60.58
27,V,457.11B,46.36,1.28,3510137,4.55,1.90,1.90,0.95,211.00
28,WBA,34.06B,78.95,1.87,3022989,0.49,0.70,0.30,0.51,39.00
29,WMT,434.97B,21.89,2.16,3663578,6.93,0.80,0.30,0.43,151.60
30,DIS,267.10B,-,-,5306155,-1.57,1.30,1.30,1.13,147.13